Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
0021,WE,"Gare Hill 
River Frome tributary",Wilts,100,ST791417, ST 79065 41705,08/09/1977,22/10/1984,24/10/1991,20/08/2001,02/11/2009,N,N,N,N,P,ST 79065 41705,104,N,379100,141700
0021NV ,SW,"Port William
Coast",Cornwall,0,SX048864,SX05339 86469,,,,03/08/2000,23/09/2009,O,O,O,P,P,SX05289 86487,103,N,204800,86400
0022,WE,"Longbridge Deverill
River Wylye",Wilts,120,ST866412, ST 86732 41272,08/09/1977,23/10/1984,29/10/1991,16/01/2001,02/11/2009,N,N,N,N,P,ST 86734 41294,110,N,386600,141200
0022NV ,SW,"Port Isaac
Coast",Cornwall,0,SX001809,SX00444 80666,,,,03/08/2000,23/09/2009,O,O,O,N,N,,103,N,200100,80900
0023,WE,"Kingston Deverill
River Wylye",Wilts,130,ST841371, ST 84482 37166,08/09/1977,22/10/1984,29/10/1991,16/01/2001,02/11/2009,N,N,N,N,P, ST 84482 37166,110,N,384100,137100
0024,WE,"Norton Bavant
River Wylye",Wilts,100,ST908427, ST 90937 42735,09/09/1977,23/10/1984,29/10/1991,22/02/2001,02/11/2009,N,N,N,N,P,ST 91115 42635,110,P,390800,142700
0024NV ,SW,"Plymouth
Coast",Devon,0,SX496534,SX49785 53075,,,,20/08/2000,01/10/2009,O,O,O,N,P,SX49804 52895,100,N,249600,53400
0025,WE,"Corton
River Wylye",Wilts,85,ST942401, ST 94214 40111,09/09/1977,23/10/1984,29/10/1991,16/01/2001,02/11/2009,N,N,N,N,P, ST 94214 40111,110,N,394200,140100
0025NV ,SW,"Plymouth
Coast",Devon,0,SX461544,SX45982 54137,,,,20/08/2000,01/10/2009,O,O,O,N,N,,100,N,246100,54400
0026,WE,"Fisherton de la Mare
River Wylye",Wilts,75,ST999384, SU 00132 38360,09/09/1977,23/10/1984,29/10/1991,22/02/2001,02/11/2009,N,N,N,N,P,SU 00016 38367,110,N,399900,138400
0027,WE,"Panters
River Nadder",Wilts,80,ST986295, ST 98767 29610,09/09/1977,29/10/1984,30/10/1991,20/08/2001,02/11/2009,N,N,N,N,P,ST 98767 29665,110,N,398600,129500
0028,WE,"Tisbury
River Sem",Wilts,95,ST932281, ST 93318 28173,12/09/1977,23/10/1984,30/10/1991,20/08/2001,02/11/2009,N,N,N,N,P,ST 93302 28165,110,N,393200,128100
0029,WE,"West End
River Nadder",Wilts,100,ST912239, ST 91234 24007,12/09/1977,23/10/1984,30/10/1991,29/08/2001,31/10/2009,N,N,N,P,P,ST 91209 24006,110,N,391200,123900
0030,WE,"Gussage
River Allen tributary",Dorset,48,ST994109,ST 99371 10966,12/09/1977,30/10/1984,30/10/1991,18/01/2001,07/09/2009,N,N,N,P,N,,112,N,399400,110900
0031,WE,"Tarrant Rushton
River Tarrant",Dorset,40,ST939065,ST 93970 06542,12/09/1977,24/10/1984,05/11/1991,18/01/2001,07/09/2009,N,N,N,N,P,ST 94060 06617,112,N,393900,106500
0032,WE,"Witchampton
River Allen",Dorset,32,ST991062,ST 99087 06185,13/09/1977,30/10/1984,30/10/1991,18/01/2001,07/09/2009,N,N,P,P,P,ST 99087 06185,112,N,399100,106200
0033,WE,"Sturminster Marshall
River Stour",Dorset,20,ST957006,ST 95740 00553,13/09/1977,24/10/1984,05/11/1991,18/01/2001,07/09/2009,N,N,P,P,P,ST 95792 00570,112,N,395700,100600
0033NV ,NO,River Blyth,Northumberland,0,NZ320817,NZ3191181803,,,,26/07/2000,23/09/2009,O,O,O,N,N,,016,N,432000,581700
0034,WE,"Tarrant Crawford
River Stour",Dorset,28,ST913035,ST 91428 03481,13/09/1977,24/10/1984,05/11/1991,18/01/2001,07/09/2009,N,N,N,P,P,ST 91272 03278,112,N,391300,103500
0034NV ,NO,"Dudley
Seaton Burn",Northumberland,51,NZ271737,NZ2700873777,,,,28/07/2000,26/09/2009,O,O,O,P,P,NZ2700873777,016,N,427100,573700
0035,WE,"Stourton
Gasper Lake",Wilts,120,ST767328,ST 76865 32895,19/09/1977,10/10/1984,07/11/1991,20/08/2001,07/11/2009,N,N,N,N,P,ST 76865 32895,112,N,376700,132800
0035NV ,NO,"Holywell
Seaton Burn",Northumberland,30,NZ309743,NZ3179874323,,,,28/07/2000,26/09/2009,O,O,O,P,P,NZ3179874323,016,N,430900,574300
0036,WE,"Zeals
River Stour",Dorset,90,ST787294,ST 78782 29465,19/09/1977,10/10/1984,07/11/1991,25/10/2000,07/11/2009,N,N,N,N,P,ST 78782 29465,112,N,378700,129400
0036NV ,NO,"Seaton Sluice
Seaton Burn",Northumberland,0,NZ335767,NZ3355476764,,,,28/07/2000,26/09/2009,O,O,O,N,P,NZ3336876266,016,N,433500,576700
0037,WE,"Gillingham
River Lodden",Dorset,90,ST834283,ST 83456 28301,19/09/1977,10/10/1984,07/11/1991,21/10/2000,07/11/2009,N,N,N,N,N,,112,N,383400,128300
0037NV ,NO,"Brunton Bridge Farm
Ouse Burn",Northumberland,59,NZ214698,NZ2144869876,,,,28/07/2000,26/09/2009,O,O,O,P,P,NZ2144869876,017,N,421400,569800
0038,WE,"Bugley
River Stour",Dorset,70,ST784242,ST 78510 24239,19/09/1977,10/10/1984,07/11/1991,21/10/2000,07/11/2009,N,N,N,N,P,ST 78689 24333,112,N,378400,124200
0038NV ,NO,"Gosforth
Ouse Burn",Northumberland,46,NZ254674,NZ2539967447,,,,28/07/2000,27/09/2009,O,O,O,N,P,NZ2540667503,017,N,425400,567400
0039,WE,"Bryanston
River Stour",Dorset,50,ST872076, ST 86764 07715,20/09/1977,24/10/1984,05/11/1991,18/01/2001,30/10/2009,N,N,P,P,N,,112,N,387200,107600
