Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
0738,SW,"Knighton
River Lynher",Cornwall,152,SX251794,SX25116 79443,17/05/1978,16/05/1985,23/05/1992,13/07/2000,07/09/2009,N,N,P,P,P,SX25115 79445,100,N,225100,79400
0739,SW,"Hurdon Farm
Lowley Brook",Cornwall,80,SX335819,SX33526 81914,18/05/1978,16/05/1985,26/05/1992,26/05/2000,02/09/2009,N,N,N,N,P,SX33677 81896,099,N,233500,81900
0740,SW,"Laneast
River Inny",Cornwall,161,SX224835,SX22498 83467,18/05/1978,16/05/1985,23/05/1992,02/06/2000,18/09/2009,N,P,P,P,P,SX22413 83469,099,N,222400,83500
0741,SW,"Lambrenny
River Inny",Cornwall,220,SX169865,SX17003 86516,18/05/1978,15/05/1985,23/05/1992,02/06/2000,23/09/2009,N,P,P,P,P,SX17083 86412,099,N,216900,86500
0742,SW,"Alternum
Penport Water",Cornwall,198,SX214813,SX21485 81384,18/05/1978,16/05/1985,23/05/1992,02/06/2000,01/09/2009,N,P,P,P,P,SX21466 81386,099,N,221400,81300
0743,SW,"Tolborough
River Fowey",Cornwall,244,SX182786,SX1825878574,18/05/1978,22/05/1985,18/05/1992,31/07/2000,01/09/2009,N,N,N,P,P,SX18195 78600,098,N,218200,78600
0744,SW,"Harrowbridge
River Fowey",Cornwall,205,SX213732,SX21336 73277,18/05/1978,15/05/1985,18/05/1992,16/08/2000,01/09/2009,N,P,P,N,P,SX21408 73136,098,N,221300,73200
0745,AN,"Suton
Tiffey trib",Norfolk,37,TM102992,TM10159223,24/05/1978,04/10/1985,23/10/1992,25/10/2000,21/10/2009,N,N,N,N,P,TM11029927,068,P,610200,299200
0746,AN,"Attleborough
River Thet Trib",Norfolk,28,TM036955,TM03689557,24/05/1978,04/10/1985,23/10/1992,25/10/2000,21/10/2009,N,N,P,N,P,TM03689557,073,P,603600,295500
0747,AN,"Swangey Fen
River Thet",Norfolk,25,TM004939,TM00819352,24/05/1978,04/10/1985,23/10/1992,16/02/2000,21/10/2009,N,N,P,P,P,TM00479358,073,P,600400,293900
0748,AN,"Old Buckenham Fen
River Thet Trib",Norfolk,28,TM042920,TM04159204,24/05/1978,04/10/1985,23/10/1992,25/10/2000,21/10/2009,N,N,N,N,P,TM04479204,073,N,604200,292000
0749,AN,"Stacksford
River Thet Trib",Norfolk,35,TM056906,TM05609062,24/05/1978,04/10/1985,23/10/1992,25/10/2000,21/10/2009,N,N,P,P,P,TM05659040,073,N,605600,290600
0750,AN,"East Harling Common
Riuver Thet Trib",Norfolk,25,TM007881,TM00678809,24/05/1978,16/10/1985,21/10/1992,25/10/2000,21/10/2009,N,P,P,P,P,TM00678809,073,N,600700,288100
0751,AN,"Winfarthing
River waveney trib",Norfolk,42,TM114850,TM11418502,24/05/1978,01/11/1985,22/10/1992,25/10/2000,21/10/2009,N,N,N,N,P,TM11418502,068,N,611400,285000
0752,AN,"Old Hall Bridge
River Tas",Norfolk,38,TM125907,TM12569076,24/05/1978,31/10/1985,18/10/1992,17/10/2000,16/10/2009,N,N,N,P,P,TM12569076,068,N,612500,290700
0753,AN,"Linstead Parva
River Blyth Trib",Suffolk,40,TM330780,TM32967807,25/05/1978,31/10/1985,09/10/1992,11/01/2001,22/10/2009,O,O,N,N,P,TM33077792,066,N,633000,278000
0754,AN,"Chediston Park
River Blyth",Suffolk,14,TM373771,TM37347912,25/05/1978,31/10/1985,18/10/1992,11/01/2001,22/10/2009,N,N,N,P,N,,066,N,637300,277100
0755,AN,"Bulcamp
River Blyth",Suffolk,1,TM435761,TM43497614,25/05/1978,10/06/1985,18/10/1992,15/10/2000,29/10/2009,N,N,N,N,N,,066,N,643500,276100
0756,AN,"Reydon Quay
River Blyth",Suffolk,0,TM485763,TM48487635,25/05/1978,31/10/1985,18/10/1992,17/10/2000,29/10/2009,N,N,N,N,P,TM48347640,066,N,648500,276300
0757,AN,"Walberswick
River Blyth Estuary",Suffolk,0,TM467750,TM44657488,25/05/1978,31/10/1985,18/10/1992,17/10/2000,29/10/2009,N,N,N,N,N,,066,N,646700,275000
0758,AN,"Blo'Norton
River Little Ouse",Norfolk,24,TM012791,TM01387896,26/05/1978,06/11/1985,21/10/1992,24/10/2000,20/10/2009,N,N,P,P,P,TM01887892,073,P,601200,279100
0759,AN,"Roydon
River Waveney",Norfolk Suffolk,25,TM089800,TM08968002,26/05/1978,05/10/1985,21/10/1992,24/10/2000,21/10/2009,N,N,P,P,P,TM08968002,068,P,608900,280000
0760,AN,"Frenze Hall
River Waveney Trib",Norfolk,25,TM135805,TM13488050,26/05/1978,05/10/1985,22/10/1992,15/10/2001,21/10/2009,N,N,P,P,P,TM13608054,068,N,613500,280500
0761,AN,"Oakley
River Waveney",Norfolk Suffolk,22,TM167782,TM16797826,26/05/1978,06/10/1985,22/10/1992,13/12/2000,16/10/2009,N,N,N,P,P,TM16847825,068,N,616700,278200
0762,AN,"Oak Lawn Farm
River Dove",Suffolk,27,TM158751,TM15937511,26/05/1978,06/10/1985,23/10/1992,17/10/2000,16/10/2009,N,N,N,P,P,TM15907515,068,N,615800,275100
0763,AN,"Mellis
Waveney trib",Suffolk,45,TM092747,TM09207484,26/05/1978,,24/10/1992,17/10/2000,16/10/2009,N,N,N,N,N,,068,N,609200,274700
0764,AN,"Hinderclay
Botesdale Brook",Suffolk,28,TM031764,TM03067642,26/05/1978,06/11/1985,21/10/1992,23/01/2001,20/10/2009,N,N,P,N,P,TM03067642,073,N,603100,276400
0765,AN,"St.Cross, South Elmham
The Beck",Suffolk,20,TM307842,TM30798422,28/05/1978,04/11/1985,27/10/1992,24/10/2000,30/10/2009,N,N,N,N,P,TM30798422,068,N,630700,284200
0766,AN,"Homersfield
River Waveney",Norfolk Suffolk,10,TM284857,TM28368872,28/05/1978,06/11/1985,22/10/1992,11/01/2001,30/10/2009,N,N,P,P,P,TM28368875,068,P,628400,285700
0767,AN,"Crassington Bridge
Waveney Trib",Norfolk,26,TM220844,TM22088446,28/05/1978,06/10/1985,23/10/1992,25/01/2001,28/10/2009,N,N,P,N,P,TM22088446,068,N,622000,284400
0768,AN,"Elmtree Farm
Waveney Trib",Norfolk,45,TM173869,TM17418692,28/05/1978,01/11/1985,24/10/1992,25/01/2001,16/10/2009,N,N,N,N,N,,068,N,617300,286900
0769,AN,"Needham
River Waveney",Norfolk Suffolk,15,TM225805,TM22508053,28/05/1978,01/11/1985,23/10/1992,11/10/2001,28/10/2009,N,N,N,P,P,TM22478050,068,N,622500,280500
0770,AN,"Mendenham
River Waveney",Norfolk Suffolk,10,TM269830,TM26748233,28/05/1978,06/11/1985,22/10/1992,11/10/2001,30/10/2009,N,N,P,P,P,TM26748233,068,P,626900,283000
0771,AN,"Wingfield Abbey
Waveney Trib",Suffolk,28,TM243773,TM23497738,28/05/1978,02/11/1985,26/10/1992,03/02/2001,28/10/2009,N,N,N,N,N,,068,P,624300,277300
0772,AN,"The Depperhaugh
Chickering Beck",Suffolk,26,TM203759,TM20407600,28/05/1978,02/11/1985,22/10/1992,03/02/2001,28/10/2009,N,N,N,N,P,TM20407600,068,N,620300,275900
0773,AN,Hempnall Beck,Norfolk,24,TM216947,TM21659472,29/05/1978,05/11/1985,15/10/1992,19/10/2000,19/10/2009,N,N,N,P,P,TM21659472,068,N,621600,294700
0774,AN,"Shotesham Park
River Tas",Norfolk,12,TM226994,TM22599944,29/05/1978,05/11/1985,15/10/1992,19/10/2000,19/10/2009,N,N,N,P,P,TM22769971,068,N,622600,299400
0775,AN,"Hethel Bridge
River Tas Trib",Norfolk,34,TM171993,TM17139925,29/05/1978,05/11/1985,15/10/1992,19/10/2000,19/10/2009,N,N,N,N,P,TM17069882,068,P,617100,299300
0776,AN,"Hopton
River Tas",Norfolk,25,TM176956,TM17559557,29/05/1978,05/11/1985,15/10/1992,17/10/2000,19/10/2009,N,N,N,P,P,TM17599554,068,P,617600,295600
0777,AN,"Shelton
Hempnall Beck",Norfolk,41,TM225912,TM22549125,29/05/1978,05/11/1985,15/10/1992,19/10/2000,19/10/2009,N,N,N,N,N,,068,N,622500,291200
0778,AN,"Holly Lodge
River Chet",Norfolk,10,TM325991,TM32569915,29/05/1978,05/11/1985,15/10/1992,20/10/2000,18/10/2009,N,N,N,N,P,TM32569915,068,N,632500,299100
0779,AN,"Ellingham Mill
River Waveney",Norfolk Suffolk,1,TM364917,TM36459164,29/05/1978,05/11/1985,25/10/1992,10/01/2001,18/10/2009,N,N,N,N,P,TM36819153,068,N,636400,291700
0780,AN,"Earsham Sluice/Mill
River Waveney",Norfolk Suffolk,10,TM328887,TM32608872,30/05/1978,06/11/1985,22/10/1992,17/10/2001,30/10/2009,N,N,P,P,N,,068,N,632800,288700
0781,AN,"Hillhouse Farm
Broome Beck",Norfolk,21,TM305934,TM30609344,30/05/1978,07/11/1985,26/10/1992,09/02/2000,19/10/2009,N,N,N,P,P,TM30479349,068,N,630500,293400
0782,AN,River Chet,Norfolk,0,TM373992,TM37289922,30/05/1978,04/11/1985,15/10/1992,20/10/2000,18/10/2009,N,N,N,P,P,TM37699944,068,P,637300,299200
0783,AN,"Somerleyton
River Waveney",Norfolk Suffolk,0,TM475970,TM47569702,30/05/1978,07/11/1985,24/10/1992,29/01/2001,17/10/2009,N,N,N,N,N,,068,N,647500,297000
0784,AN,"Haddisloe Marshes
Waveney",Norfolk,1,TM452967,TM45239675,30/05/1978,07/11/1985,26/10/1992,29/01/2001,17/10/2009,N,N,N,N,N,,068,N,645200,296700
0785,AN,"Staith
Waveney",Norfolk,0,TM493934,TM49329340,30/05/1978,07/11/1985,26/10/1992,11/01/2001,17/10/2009,N,N,N,N,N,,068,N,649300,293400
0786,AN,"Long Dam Level
River Waveney",Norfolk Suffolk,0,TM461912,TM46119120,30/05/1978,07/11/1985,23/10/1992,26/01/2001,18/10/2009,N,N,P,P,P,TM45799126,068,N,646100,291200
0787,AN,"Dunburgh
River Waveney",Norfolk Suffolk,0,TM402913,TM40199130,31/05/1978,07/11/1985,23/10/1992,11/01/2001,18/10/2009,N,N,P,N,P,TM40409109,068,N,640200,291300
0788,AN,"Hulver Bridge
Hundred River",Norfolk,2,TM465873,TM46588734,31/05/1978,31/10/1985,16/10/1992,10/12/2001,29/10/2009,N,N,N,N,P,TM44588734,066,N,646500,287300
0789,AN,"Common Farm
Eastern Broad River",Suffolk,1,TM495792,TM49667926,31/05/1978,04/11/1985,16/10/1992,17/10/2000,29/10/2009,N,N,N,P,O,,066,O,649500,279200
0790,AN,"Uggeshall
River Blyth",Suffolk,8,TM443797,TM44357969,31/05/1978,31/10/1985,16/10/1992,11/01/2001,29/10/2009,N,N,N,N,P,TM44527975,066,P,644300,279700
0791,AN,"Westwood Marshes
Dunwich river",Suffolk,1,TM487736,TM48667359,31/05/1978,28/10/1985,15/10/1992,15/11/2000,29/10/2009,N,N,P,P,P,TM48707370,066,N,648700,273600
0792,AN,"Thorington
Blyth Trib",Suffolk,7,TM416743,TM41697438,31/05/1978,04/11/1985,16/10/1992,11/01/2001,22/10/2009,N,N,N,P,P,TM42097437,066,P,641600,274300
0793,AN,"Cratfield
River Blyth",Suffolk,32,TM320753,TM32027536,01/06/1978,31/10/1985,16/10/1992,11/01/2001,22/10/2009,N,N,N,N,P,TM32027536,066,N,632000,275300
0794,AN,"Bruisyard
River Alde",Suffolk,22,TM315665,TM31556654,01/06/1978,06/11/1985,16/10/1992,24/10/2000,25/10/2009,N,N,N,N,P,TM31616647,066,N,631500,266500
0795,AN,"Swefling
River Alde",Suffolk,12,TM352630,TM35336303,01/06/1978,06/11/1985,26/10/1992,23/10/2000,25/10/2009,N,N,P,P,P,TM35336303,066,N,635200,263000
0796,AN,"Snape
River Alde Trib",Suffolk,3,TM382598,TM38265989,01/06/1978,06/11/1985,16/10/1992,29/01/2001,25/10/2009,N,N,N,P,P,TM38265989,066,P,638200,259800
0797,AN,"Little Glenham
Alde Trib",Suffolk,10,TM347577,TM34785780,01/06/1978,06/11/1985,17/10/1992,23/10/2000,25/10/2009,N,N,N,N,P,TM34785780,066,N,634700,257700
0798,AN,"Parham
River Alde Trib",Suffolk,20,TM296612,TM29656134,01/06/1978,05/11/1985,17/10/1992,03/02/2001,26/10/2009,N,N,N,P,P,TM29726127,066,P,629600,261200
0799,SW,"West Kingsmill
River Tamar tributary",Cornwall,0,SX411623,SX41160 62302,06/06/1978,10/05/1985,21/05/1992,11/06/2000,18/09/2009,N,N,N,P,P,SX41190 62277,100,N,241100,62300
0800,SW,"Halton Barton
River Tamar tributary",Cornwall,1,SX403655,SX40363 65523,06/06/1978,10/05/1985,21/05/1992,19/08/2000,18/09/2009,N,N,P,P,P,SX40336 65543,100,N,240300,65500
0801,SW,"St Dominick 
RiverTamar tributary",Cornwall,18,SX411683,SX41118 68301,06/06/1978,10/05/1985,22/05/1992,19/08/2000,18/09/2009,N,P,P,P,P,SX41098 68319,100,N,241100,68300
0802,SW,"Tideford
River Tiddy",Cornwall,5,SX343596,SX34264 59573,06/06/1978,23/05/1985,21/05/1992,20/08/2000,15/09/2009,N,N,P,P,P,SX34365 59530,100,N,234300,59600
0803,SW,"Trebrownbridge Wood
River Seaton",Cornwall,25,SX299592,SX29986 59287,06/06/1978,11/05/1985,20/05/1992,11/06/2000,10/09/2009,N,P,P,P,N,,098,N,229900,59200
0804,SW,"Seaton Beach
River Seaton",Cornwall,0,SX303544,SX30335 54486,07/06/1978,11/05/1985,20/05/1992,03/06/2000,10/09/2009,N,N,N,N,N,,098,N,230300,54400
0805,SW,"Haye
River Lynher tributary",Cornwall,0,SX361554,SX36064 55448,07/06/1978,11/05/1985,20/05/1992,20/08/2000,15/09/2009,N,N,N,N,P,SX36254 55896,100,N,236100,55400
0806,SW,"St John
St Johns Lake",Cornwall,0,SX410539,SX41014 54190,07/06/1978,11/05/1985,20/05/1992,20/08/2000,15/09/2009,N,N,N,N,P,SX41067 54023,100,N,241000,53900
0807,SW,Cawsand Bay,Cornwall,0,SX433502,SX43453 50245,07/06/1978,11/05/1985,20/05/1992,20/08/2000,15/09/2009,N,N,N,N,N,,100,N,243300,50200
0808,SW,"Roseland
River Seaton",Cornwall,60,SX275631,SX27566 63151,07/06/1978,11/05/1985,20/05/1992,10/06/2000,18/09/2009,N,P,P,N,P,SX27566 63116,098,N,227500,63100
0809,SW,"Trehunist
River Tiddy",Cornwall,48,SX311637,SX31094 63772,07/06/1978,23/05/1985,21/05/1992,20/08/2000,18/09/2009,N,N,P,P,P,SX31240 63593,100,N,231100,63700
0810,SW,"Merrymeet
River Seaton",Cornwall,115,SX271667,SX27134 66755,07/06/1978,23/05/1985,20/05/1992,10/06/2000,18/09/2009,N,N,N,N,N,,098,N,227100,66700
0811,SW,"Morval House
East Looe River tributary",Cornwall,22,SX262564,SX26252 56600,08/06/1978,23/05/1985,20/05/1992,03/06/2000,10/09/2009,N,N,N,N,N,,098,N,226200,56400
0812,SW,"Landlooe Bridge
East Looe River",Cornwall,22,SX249595,SX24998 59458,08/06/1978,17/05/1985,20/05/1992,12/06/2000,10/09/2009,N,N,P,N,N,,098,N,224900,59500
0813,SW,"High Wood
East Looe River",Cornwall,70,SX232657,SX23254 65757,08/06/1978,17/05/1985,20/05/1992,12/06/2000,31/08/2009,N,P,P,P,N,,098,N,223200,65700
0814,SW,"Ashford Bridge
River Fowey",Cornwall,80,SX203659,SX20343 65993,08/06/1978,17/05/1985,20/05/1992,12/06/2000,31/08/2009,N,N,P,P,P,SX2032666009,098,N,220300,65900
0815,SW,"Pendruffe Wood
West Looe River",Cornwall,40,SX214596,SX21365 59598,08/06/1978,17/05/1985,19/05/1992,15/08/2000,10/09/2009,N,N,P,N,P,SX21491 59524,098,N,221400,59600
0816,SW,"Bosent
West Looe River",Cornwall,77,SX212634,SX21270 63487,08/06/1978,17/05/1985,19/05/1992,20/07/2000,31/08/2009,N,N,P,P,P,SX2127063487,098,N,221200,63400
0817,SW,"Cannon Bridge
Herodsfoot Stream",Cornwall,107,SX189624,SX19012 62482,09/06/1978,23/05/1985,19/05/1992,15/08/2000,31/08/2009,N,N,N,N,N,,098,N,218900,62400
0818,SW,"Holtroad Downs
River Fowey",Cornwall,41,SX151654,SX15098 65302,09/06/1978,23/05/1985,20/05/1992,23/05/2000,31/08/2009,N,P,P,P,P,SX1526465365,098,N,215100,65400
0819,SW,"Quarry Wood
St Neot River",Cornwall,120,SX186667,SX18670 66738,09/06/1978,17/05/1985,20/05/1992,12/06/2000,31/08/2009,N,P,P,P,N,,098,N,218600,66700
0820,SW,"Colliford Lake
St Neot River",Cornwall,228,SX181707,SX18098 70723,09/06/1978,15/05/1985,18/05/1992,17/08/2000,01/09/2009,N,P,P,N,P,SX19004 70845,098,N,218100,70700
0821,SW,Dozmary Pool,Cornwall,260,SX192739,SX19212 73953,09/06/1978,15/05/1985,18/05/1992,31/07/2000,01/09/2009,N,N,N,P,P,SX19399 74218,098,N,219200,73900
0822,SW,Siblyback Reservoir,Cornwall,212,SX235716,SX23548 71690,09/06/1978,17/05/1985,18/05/1992,12/06/2000,01/09/2009,N,N,N,P,P,SX23544 71755,098,N,223500,71600
0823,SW,"Sowdens Bridge
West Looe River",Cornwall,5,SX230555,SX23034 55579,09/06/1978,23/05/1985,19/05/1992,20/07/2000,10/09/2009,N,N,P,P,P,SX22871 55874,098,N,223000,55500
0824,SW,"Talland Beach
South Coast",Cornwall,0,SX224515,SX22368 51606,09/06/1978,19/05/1985,19/05/1992,20/07/2000,09/09/2009,N,N,N,N,N,,098,N,222400,51500
0825,SW,River Polperro,Cornwall,50,SX205526,SX20587 52669,10/06/1978,23/05/1985,19/05/1992,20/07/2000,09/09/2009,N,N,P,N,N,,098,N,220500,52600
0826,SW,"Trethake Mill
Pont Pill",Cornwall,15,SX155531,SX15561 53133,10/06/1978,19/05/1985,19/05/1992,12/06/2000,09/09/2009,N,N,P,P,P,SX15717 53292,098,N,215500,53100
0827,SW,Penpoll Creek,Cornwall,12,SX151555,SX15101 55490,10/06/1978,19/05/1985,19/05/1992,12/06/2000,09/09/2009,N,N,P,P,P,SX15101 55490,098,N,215100,55500
0828,SW,"Kingston House
River Lerwyn",Cornwall,14,SX147584,SX14857 58449,10/06/1978,19/05/1985,19/05/1992,12/06/2000,09/09/2009,N,N,P,P,P,SX14854 58460,098,N,214700,58400
0829,SW,"Lanhydrock
River Fowey",Cornwall,16,SX098635,SX09908 63457,10/06/1978,20/05/1985,18/05/1992,12/06/2000,28/09/2009,N,P,P,P,P,SX09934 63497,098,N,209800,63500
0830,SW,Red Moor,Cornwall,175,SX070620,SX07261 62169,10/06/1978,20/05/1985,18/05/1992,12/06/2000,28/09/2009,O,N,N,P,P,SX07261 62169,101,N,207000,62000
0831,SW,"Lanlivery
River Fowey tributary",Cornwall,106,SX083587,SX08290 58737,10/06/1978,19/05/1985,18/05/1992,12/06/2000,28/09/2009,N,N,P,P,P,SX08306 58741,098,N,208300,58700
0832,SW,"Lansallos Beach
South Coast",Cornwall,0,SX165512,SX16613 51311,11/06/1978,10/05/1985,19/05/1992,20/07/2000,09/09/2009,N,N,N,N,N,,098,N,216500,51200
0833,SW,"Golant
River Fowey tributary",Cornwall,0,SX123537,SX12096 54004,11/06/1978,19/05/1985,19/05/1992,21/05/2000,28/09/2009,N,N,N,N,N,,098,N,212300,53700
0834,SW,"Polridmouth
South Coast",Cornwall,0,SX103504,SX10369 50499,11/06/1978,19/05/1985,19/05/1992,21/05/2000,28/09/2009,N,N,P,N,P,SX10363 50492,098,N,210300,50400
0835,SW,"Tregonning
Luxulyan River",Cornwall,76,SX057567,SX05736 56901,11/06/1978,19/05/1985,18/05/1992,12/06/2000,28/09/2009,N,P,P,P,P,SX057 568,101,N,205700,56700
0836,SW,"Dinhams Bridge
River Allen",Cornwall,16,SX031738,SX03156 73918,11/06/1978,21/05/1985,17/05/1992,05/06/2000,19/08/2009,P,N,P,P,P,SX03057 73773,103,N,203100,73800
0837,SW,"Trewalder
River Allen",Cornwall,105,SX069821,SX07010 82160,12/06/1978,21/05/1985,17/05/1992,17/08/2000,19/08/2009,N,N,N,N,P,SX07008 82177,103,N,206900,82100
0838,SW,"Penvose
River Allen",Cornwall,50,SX052777,SX05312 77750,12/06/1978,21/05/1985,17/05/1992,05/06/2000,19/08/2009,P,P,P,P,P,SX05133 77531,103,N,205200,77700
0839,SW,"Carclaze Bridge
River Camel tributary",Cornwall,12,SX009759,SX01025 75959,12/06/1978,21/05/1985,17/05/1992,05/06/2000,13/08/2009,N,N,N,P,P,SX00917 75752,103,N,200900,75900
0840,SW,"Pendavey
River Camel",Cornwall,0,SX003713,SX003713,12/06/1978,21/05/1985,17/05/1992,05/06/2000,13/08/2009,P,N,P,P,P,SX00353 71377,103,N,200300,71300
0841,SW,"Nanstallon
River Camel",Cornwall,15,SX034674,SX03454 67406,12/06/1978,20/05/1985,17/05/1992,31/05/2000,13/08/2009,P,P,P,P,P,SX03385 67395,103,N,203400,67400
0842,SW,"Withiel
River Camel tributary",Cornwall,28,SW997659,SW99805 65924,12/06/1978,20/05/1985,17/05/1992,31/05/2000,13/08/2009,P,P,P,P,P,SX00266 60036,103,N,199700,65900
0843,SW,"Cardinham Woods
River Fowey tributary",Cornwall,50,SX100663,SX10030 66334,12/06/1978,20/05/1985,18/05/1992,22/05/2000,28/09/2009,N,N,P,P,N,,098,N,210000,66300
0844,SW,"Milland
River Warleggan",Cornwall,140,SX147689,SX14778 68944,12/06/1978,20/05/1985,18/05/1992,17/08/2000,31/08/2009,N,P,P,P,P,SX1478368948,098,N,214700,68900
0845,SW,"Trescarne
River Camel",Cornwall,145,SX097805,SX09726 80557,13/06/1978,21/05/1985,17/05/1992,17/08/2000,19/08/2009,P,P,P,P,P,SX09726 80560,103,N,209700,80500
0846,SW,"Wenfordbridge
River Camel",Cornwall,72,SX084751,SX08506 75178,13/06/1978,21/05/1985,17/05/1992,02/06/2000,13/08/2009,P,P,P,P,P,SX08502 75227,103,N,208400,75100
0847,SW,"Hellandbridge
River Camel",Cornwall,35,SX065715,SX06523 71509,13/06/1978,22/05/1985,17/05/1992,02/06/2000,13/08/2009,P,P,P,P,P,SX06521 71524,103,N,206500,71500
0848,SW,"Priddacombe
De Lank River",Cornwall,255,SX161758,SX16248 75853,13/06/1978,22/05/1985,18/05/1992,31/07/2000,01/09/2009,N,P,P,N,N,,103,N,216100,75800
0849,SW,"Kerrow Downs
De Lank River",Cornwall,198,SX113758,SX11479 75866,13/06/1978,21/05/1985,18/05/1992,02/06/2000,01/09/2009,N,N,P,P,N,,103,N,211300,75800
0850,SW,Rocky Valley Stream,Cornwall,38,SX073892,SX07315 89127,13/06/1978,20/05/1985,13/05/1992,04/06/2000,23/09/2009,N,N,N,N,N,,103,N,207300,89200
0851,SW,"Slaughterbridge
River Camel",Cornwall,205,SX109855,SX10935 85524,14/06/1978,20/05/1985,17/05/1992,17/08/2000,19/08/2009,P,P,P,P,P,SX10938 85552,103,N,210900,85500
0852,SW,"Crowdy Reservoir
River Camel tributary",Cornwall,260,SX127826,SX12788 82679,14/06/1978,20/05/1985,17/05/1992,02/06/2000,19/08/2009,N,N,N,P,P,SX12823 82740,103,N,212700,82600
0853,SW,"Hennett
River Valency",Cornwall,85,SX129910,SX13505 91200,14/06/1978,15/05/1985,13/05/1992,04/06/2000,23/09/2009,N,N,P,P,P,SX13500 41208,103,N,212900,91000
0854,NO,"Ladykirk
RiverTweed",Northumberland,15,NT891473,NT8909847282,20/06/1978,02/06/1985,02/08/1992,16/08/2000,26/09/2009,N,N,N,P,P,NT8392147525,016,N,389100,647300
0855,NO,"Twizel Bridge
River Till",Northumberland,21,NT885433,NT8850343298,21/06/1978,02/06/1985,01/08/1992,16/08/2000,24/08/2009,P,N,P,P,P,NT8850343298,016,N,388500,643300
0856,NO,"Norham East Mains Farm
Tweed tributary",Northumberland,35,NT932487,NT9327848691,21/06/1978,02/06/1985,02/08/1992,18/08/2000,24/08/2009,N,N,P,N,N,,016,N,393200,648700
0857,NO,"Coldstream
RiverTweed",Northumberland,15,NT848401,NT8492740088,21/06/1978,02/06/1985,31/07/1992,17/08/2000,22/09/2009,N,P,P,P,P,NT,016,N,384800,640100
0858,NO,"Ford Forge
River Till",Northumberland,30,NT933385,NT9332138462,21/06/1978,03/06/1985,01/08/1992,16/08/2000,24/08/2009,N,N,P,P,P,NT9335938347,016,N,393300,638500
0859,NO,"Greenlaw Walls
River Till tributary",Northumberland,37,NT934413,NT9341941266,22/06/1978,02/06/1985,01/08/1992,16/08/2000,24/08/2009,N,N,P,N,N,,016,N,393400,641300
0860,NO,"Grievestead
RiverTweed tributary",Northumberland,50,NT926450,NT9263044897,22/06/1978,02/06/1985,01/08/1992,21/08/2000,24/08/2009,N,N,N,N,P,NT9263044902,016,N,392600,645000
0861,NO,"Allerdean Mill
Allerdeanmill Burn",Northumberland,38,NT974476,NT9743447575,22/06/1978,02/06/1985,01/08/1992,18/08/2000,24/08/2009,N,N,N,P,P,NT9743447575,016,N,397400,647600
0862,NO,"Allerdean Grange
Coal Burn",Northumberland,40,NT985454,NT9852845484,22/06/1978,02/06/1985,01/08/1992,18/08/2000,24/08/2009,N,N,N,P,P,NT9881345650,016,N,398500,645400
0863,NO,"Berrington 
Berrington Burn",Northumberland,50,NT999431,NT9992043166,22/06/1978,02/06/1985,01/08/1992,18/08/2000,24/08/2009,N,N,N,P,P,NT9992043166,016,P,399900,643100
0864,NO,"Carham 
River Tweed",Northumberland,23,NT796383,NT7962538435,22/06/1978,02/06/1985,02/08/1992,17/08/2000,22/09/2009,N,N,P,P,P,NT7961238400,016,N,379600,638300
0865,NO,"Pressen
Willow Burn",Northumberland,45,NT839362,NT8397836235,23/06/1978,02/06/1985,02/08/1992,17/08/2000,25/08/2009,N,N,P,P,P,NT8397536239,016,N,383900,636200
0866,NO,"Pawston Bridge
Bowmont Water",Northumberland,75,NT853333,NT8540533340,23/06/1978,02/06/1985,31/07/1992,17/08/2000,25/08/2009,N,N,P,P,P,NT8539033346,016,N,385300,633300
0867,NO,"Longknowe
Bowmont Water tributary",Northumberland,135,NT873312,NT8732031142,23/06/1978,03/06/1985,31/07/1992,17/08/2000,25/08/2009,N,N,N,P,P,NT8732031142,016,P,387300,631200
0868,NO,"West Newton
Bowmont Water",Northumberland,62,NT906303,NT9076530387,23/06/1978,03/06/1985,31/07/1992,17/08/2000,25/08/2009,N,N,P,P,P,NT9076530387,016,N,390600,630300
0869,NO,"Akeld Steads
River Glen",Northumberland,42,NT962303,NT9628330242,23/06/1978,31/05/1985,01/08/1992,21/08/2000,24/08/2009,N,N,P,P,P,NT9646130248,016,N,396200,630300
0870,NO,"Doddington Bridge
RiverTill",Northumberland,37,NT998307,NT9986230766,23/06/1978,31/05/1985,01/08/1992,23/08/2000,24/08/2009,N,N,N,P,P,NT9986230766,016,N,399800,630700
0871,NO,"Redscar Bridge
River Till",Northumberland,43,NT946336,NT9462433711,23/06/1978,31/05/1985,01/08/1992,16/08/2000,24/08/2009,N,N,N,P,P,NT9425834066,016,N,394600,633600
0872,NO,"Kimmerston
River Till tributary",Northumberland,45,NT959360,NT9599736030,24/06/1978,03/06/1985,01/08/1992,16/08/2000,24/08/2009,N,N,P,P,P,NT9599736030,016,N,395900,636000
0873,NO,"Southern Knowe
College Burn",Northumberland,180,NT888248,NT8883524908,24/06/1978,01/06/1985,31/07/1992,15/08/2000,25/08/2009,N,N,P,P,N,,016,N,388800,624800
